eventid,latitude,longitude,attacktype1,weaptype1,nkill,nwound
197009120001,-34.61768,-58.444435,6,13,,
197009120002,51.504387,-0.140041,6,13,0,0
197009140001,-34.891151,-56.187214,7,8,0,0
197009160001,-34.891151,-56.187214,7,8,0,0
197009180001,-32.951052,-60.666365,2,5,0,2
197009180002,41.67086,-83.543846,2,5,1,1
197009200001,42.811978,-70.872638,3,6,0,0
197009230001,42.350097,-71.156442,2,5,1,0
197009230002,-34.891151,-56.187214,7,8,0,0
197009240001,40.697132,-73.931351,3,6,0,0
197009240002,52.50153,13.401851,3,6,,
197009250001,40.697132,-73.931351,3,6,0,0
197009260001,-34.891151,-56.187214,6,13,0,0
197009260002,40.697132,-73.931351,3,6,0,0
197009270001,40.697132,-73.931351,4,6,0,0
197009300001,54.607712,-5.95621,2,5,1,
197010000001,35.724533,51.40519,2,5,,
197010010001,39.308342,-76.616104,7,8,0,0
197010020002,38.395649,27.135641,3,6,0,0
197010020003,44.04483,-123.072606,3,6,0,0
197010020004,39.162608,-76.624689,7,8,0,0
197010030001,39.930771,32.76754,3,6,,
197010030002,39.930771,32.76754,3,6,0,0
197010050001,46.803137,-71.241298,6,13,0,0
197010050002,41.842602,-87.681229,3,6,0,0
197010050003,37.264891,-81.240268,3,6,0,0
197010060001,39.930771,32.76754,2,8,0,0
197010060002,40.697132,-73.931351,3,6,0,0
197010080001,47.610786,-122.331306,3,6,0,0
197010080002,34.419255,-119.698869,3,6,0,0
197010080003,37.97457,-122.532474,3,6,0,0
197010080004,37.874043,-122.280022,3,6,0,0
197010080005,-34.891151,-56.187214,7,8,0,0
197010080006,48.777106,9.180769,3,6,0,0
197010090001,29.813822,-95.365295,3,6,0,0
197010100001,46.803137,-71.241298,6,5,1,0
197010100002,35.724533,51.40519,4,13,0,1
197010100003,40.697132,-73.931351,3,6,0,0
197010140001,42.36679,-71.106019,3,6,0,0
197010140002,48.139126,11.580186,3,6,,
197010150001,42.36679,-71.106019,3,6,0,0
197010150002,-34.891151,-56.187214,7,8,0,0
197010150003,-34.891151,-56.187214,7,8,0,0
197010150004,-34.891151,-56.187214,7,8,0,0
197010150005,-34.891151,-56.187214,7,8,0,0
197010150006,39.176086,-94.574127,3,6,0,2
197010160001,-34.61768,-58.444435,7,8,,
197010170001,48.139126,11.580186,3,6,,
197010180001,33.683734,-117.794609,3,6,0,0
197010190001,33.683734,-117.794609,3,6,0,0
197010200001,-34.61768,-58.444435,3,6,0,0
197010200002,37.005105,-89.176269,7,8,0,0
197010210001,-37.813187,144.96298,3,6,0,0
197010210003,37.005105,-89.176269,2,5,0,0
197010220001,37.755363,-122.443352,3,6,0,0
197010240001,42.331685,-83.047924,2,5,1,0
197010240002,41.890961,12.490069,8,2,0,0
197010240003,37.005105,-89.176269,7,8,0,0
197010240004,37.005105,-89.176269,2,5,0,2
197010250001,38.908642,-77.015381,3,6,0,1
197010260001,33.683734,-117.794609,7,8,0,0
197010270001,-34.61768,-58.444435,1,13,1,0
197010270002,39.930771,32.76754,3,6,0,0
197010270003,51.504387,-0.140041,7,8,0,0
197010280001,27.19999,-80.255359,7,8,0,0
197010280002,43.111261,-87.898632,3,6,0,0
197010290001,33.62905,-117.691249,7,8,0,0
197010300001,40.697132,-73.931351,3,6,0,0
197010300002,40.697132,-73.931351,3,6,0,0
197010300003,40.697132,-73.931351,3,6,0,0
197010300004,40.697132,-73.931351,3,6,0,0
197011000001,35.724533,51.40519,6,13,0,0
197011010001,24.891115,67.143311,1,10,4,20
